house,id,name,start,stop
H1,8,CentralVacuum,1334357051.23,1334357096.36
H1,16,Dryer,1334356041.12,1334356135.03
H1,32,PortableVacuum,1334356941.83,1334357017.28
H1,35,Toaster,1334356449.54,1334356503.58
H1,38,Washer,1334355867.16,1334355994.2
H1,1,BR1ClosetLight,1350943930.0,1350944002.6
H1,1,BR1ClosetLight,1350944050.71,1350944123.81
H1,1,BR1ClosetLight,1350944171.08,1350944242.85
H1,3,BR1Lights,1350943569.3,1350943641.32
H1,3,BR1Lights,1350943691.76,1350943761.19
H1,3,BR1Lights,1350943810.55,1350943883.56
H1,4,BR2ClosetLight,1350942849.41,1350942920.27
H1,4,BR2ClosetLight,1350942970.53,1350943041.47
H1,4,BR2ClosetLight,1350943090.07,1350943160.51
H1,5,BR2Lights,1350942488.88,1350942560.82
H1,5,BR2Lights,1350942609.75,1350942681.02
H1,5,BR2Lights,1350942729.79,1350942801.39
H1,6,BackyardLight,1350943211.36,1350943279.8
H1,6,BackyardLight,1350943330.98,1350943401.92
H1,6,BackyardLight,1350943451.02,1350943520.29
H1,10,DiningRoomLights,1350944650.23,1350944721.0
H1,10,DiningRoomLights,1350944772.27,1350944841.04
H1,10,DiningRoomLights,1350944890.31,1350944962.24
H1,12,DownstairsBathroomFan,1350941770.14,1350941840.08
H1,12,DownstairsBathroomFan,1350941890.35,1350941960.11
H1,12,DownstairsBathroomFan,1350942010.22,1350942082.32
H1,13,DownstairsBathroomFanLights,1350942130.59,1350942200.69
H1,13,DownstairsBathroomFanLights,1350942250.13,1350942321.06
H1,13,DownstairsBathroomFanLights,1350942371.17,1350942440.94
H1,14,DownstairsBathroomLights,1350941409.69,1350941480.46
H1,14,DownstairsBathroomLights,1350941529.23,1350941600.17
H1,14,DownstairsBathroomLights,1350941649.6,1350941720.2
H1,15,DownstairsHallwayLights,1350940272.41,1350940342.51
H1,15,DownstairsHallwayLights,1350940377.96,1350940465.88
H1,15,DownstairsHallwayLights,1350940512.32,1350940582.92
